qtrs_frm_peak,Date0,GDPC10,usgdp_dv_pk0,Date1,GDPC11,usgdp_dv_pk1,Date2,GDPC12,usgdp_dv_pk2,Date3,GDPC13,usgdp_dv_pk3,Date4,GDPC14,usgdp_dv_pk4,Date5,GDPC15,usgdp_dv_pk5,Date6,GDPC16,usgdp_dv_pk6,Date7,GDPC17,usgdp_dv_pk7,Date8,GDPC18,usgdp_dv_pk8,Date9,GDPC19,usgdp_dv_pk9,Date10,GDPC110,usgdp_dv_pk10,Date11,GDPC111,usgdp_dv_pk11,Date12,GDPC112,usgdp_dv_pk12,Date13,GDPC113,usgdp_dv_pk13,Date14,GDPC114,usgdp_dv_pk14
-12,,,,1934-07-01,905.594,0.7737844599536546,1942-01-01,1707.65262988999,0.7185951324590796,1945-10-01,2268.345113026019,1.062466182615217,1950-04-01,2251.507,0.8281529946750462,1954-07-01,2682.601,0.8897754798719303,1957-01-01,2992.219,0.9134435185515898,1966-07-01,4459.195,0.8975539052253508,1970-10-01,4935.693,0.8616842645549201,1977-01-01,6079.494,0.8891215552264297,1978-07-01,6640.497,0.9516148655765473,1988-10-01,9009.913,0.956307471210993,1998-04-01,11942.032,0.8978982230354562,2004-10-01,14609.876,0.9269069019114176,2016-10-01,17876.179,0.9284417298281357
-11,,,,1934-10-01,925.3081478250235,0.7906292063060293,1942-04-01,1782.6135323049155,0.750139334515897,1946-01-01,2193.94705389442,1.0276190063960382,1950-07-01,2338.514,0.8601560520085085,1954-10-01,2735.091,0.90718556617939,1957-04-01,2985.663,0.9114421490971399,1966-10-01,4495.777,0.9049171887240438,1971-01-01,5069.746,0.8850875355274828,1977-04-01,6197.686,0.9064070488637821,1978-10-01,6729.755,0.9644059623380745,1989-01-01,9101.508,0.9660293167854809,1998-07-01,12091.614,0.9091450034827109,2005-01-01,14771.602,0.937167423329842,2017-01-01,17977.299,0.9336936367216737
-10,,,,1935-01-01,943.4731279675785,0.8061502669023625,1942-07-01,1861.5,0.7833354487081786,1946-04-01,2119.325717815612,0.9926672498797936,1950-10-01,2383.291,0.876626001532345,1955-01-01,2813.212,0.9330970417447368,1957-07-01,3014.919,0.9203732144966796,1967-01-01,4535.591,0.9129310143545987,1971-04-01,5097.179,0.8898768496986711,1977-07-01,6309.514,0.9227618121512962,1979-01-01,6741.854,0.9661398066962018,1989-04-01,9170.977,0.9734027202487061,1998-10-01,12287.0,0.923835697847456,2005-04-01,14839.782,0.9414930255849412,2017-04-01,18054.052,0.9376799857109906
-9,,,,1935-04-01,962.8577941263444,0.8227134877662844,1942-10-01,1944.36067682407,0.8182039447921142,1946-07-01,2058.375,0.9641186502362316,1951-01-01,2415.66,0.8885320201610397,1955-04-01,2858.988,0.9482802025527054,1957-10-01,2983.727,0.910851140667638,1967-04-01,4538.37,0.9134903759215678,1971-07-01,5139.128,0.8972003994441301,1977-10-01,6309.652,0.9227819945504598,1979-04-01,6749.063,0.9671728907508954,1989-07-01,9238.923,0.9806144732854892,1999-01-01,12403.293,0.9325795429528336,2005-07-01,14972.054,0.9498848716026369,2017-07-01,18185.636,0.9445141126559997
-8,,,,1935-07-01,986.231,0.8426847149214247,1943-01-01,2027.7092611206376,0.853277756599336,1946-10-01,2024.9887956579935,0.9484809446351014,1951-04-01,2457.517,0.9039279304993657,1955-07-01,2897.598,0.9610865167521914,1958-01-01,2906.274,0.8872068349392216,1967-07-01,4581.309,0.9221332065527629,1971-10-01,5151.245,0.8993158122612588,1978-01-01,6329.791,0.9257273085849346,1979-07-01,6799.2,0.9743577617801891,1989-10-01,9257.128,0.9825467424997864,1999-04-01,12498.694,0.9397525591008229,2005-10-01,15066.597,0.9558830442926317,2017-10-01,18359.432,0.9535406198797869
-7,,,,1935-10-01,1015.3976103088327,0.867606114363668,1943-04-01,2107.1757148568863,0.8867179339803363,1947-01-01,2033.061,0.9522618702461519,1951-07-01,2508.166,0.9225577286866672,1955-10-01,2914.993,0.9668561576612837,1958-04-01,2925.379,0.8930390746322148,1967-10-01,4615.853,0.9290862781502383,1972-01-01,5245.974,0.915853811828295,1978-04-01,6574.39,0.9614997336069561,1979-10-01,6816.203,0.9767943727084673,1990-01-01,9358.289,0.9932839183299166,1999-07-01,12662.385,0.9520601678919313,2006-01-01,15267.026,0.968599033356687,2018-01-01,18530.483,0.9624245590218615
-6,,,,1936-01-01,1048.3065338595597,0.8957251319779139,1943-07-01,2178.39,0.9166855267856079,1947-04-01,2027.639,0.9497222691911542,1951-10-01,2513.69,0.9245895754198041,1956-01-01,2903.671,0.9631008328913646,1958-07-01,2993.068,0.9137026952853952,1968-01-01,4709.993,0.9480349279935205,1972-04-01,5365.045,0.9366414919098597,1978-07-01,6640.497,0.9711678340527092,1980-01-01,6837.641,0.9798665402718634,1990-04-01,9392.251,0.9968886273140396,1999-10-01,12877.593,0.9682412399894617,2006-04-01,15302.705,0.9708626467749869,2018-04-01,18654.383,0.9688595992128166
-5,,,,1936-04-01,1081.942690480507,0.9244655336213173,1943-10-01,2237.893052048649,0.941724930479422,1947-07-01,2023.452,0.9477611276165923,1952-01-01,2540.55,0.9344692646399451,1956-04-01,2927.665,0.9710592556549612,1958-10-01,3063.085,0.9350769913641336,1968-04-01,4788.688,0.963874783521639,1972-07-01,5415.712,0.9454870494905692,1978-10-01,6729.755,0.984221751332075,1980-04-01,6696.753,0.9596766184661087,1990-07-01,9398.499,0.9975517867785234,2000-01-01,12924.179,0.9717439509701665,2006-07-01,15326.368,0.9723639187926227,2018-07-01,18752.355,0.9739480072643761
-4,,,,1936-07-01,1113.291,0.9512510851510324,1944-01-01,2285.869700627458,0.9619139229811655,1947-10-01,2055.103,0.9625860839042595,1952-04-01,2546.022,0.9364819846478605,1956-07-01,2925.035,0.9701869270783062,1959-01-01,3121.936,0.9530426096929656,1968-07-01,4825.799,0.9713445449868402,1972-10-01,5506.396,0.9613188639585472,1979-01-01,6741.854,0.985991221241361,1980-07-01,6688.794,0.9585360558372688,1990-10-01,9312.937,0.9884702806805451,2000-04-01,13160.842,0.9895381829030772,2006-10-01,15456.928,0.980647148925004,2018-10-01,18813.923,0.9771456872843658
-3,,,,1936-10-01,1139.568254689646,0.9737036757480244,1944-04-01,2323.415748892537,0.9777136278240045,1948-01-01,2086.017,0.9770658380566383,1952-07-01,2564.401,0.9432421785487156,1956-10-01,2973.179,0.9861555152891339,1959-04-01,3192.38,0.9745472573209796,1968-10-01,4844.779,0.975164869758728,1973-01-01,5642.669,0.9851097074700242,1979-04-01,6749.063,0.9870455322237597,1980-10-01,6813.535,0.9764120355940377,1991-01-01,9269.367,0.9838457835826638,2000-07-01,13178.419,0.9908597634403169,2007-01-01,15493.328,0.982956505365098,2019-01-01,18950.347,0.9842311911020483
-2,,,,1937-01-01,1158.918736594182,0.9902376878885029,1944-07-01,2351.627,0.9895851685411055,1948-04-01,2120.45,0.9931938504370763,1952-10-01,2648.621,0.9742201169746377,1957-01-01,2992.219,0.9924707761634725,1959-07-01,3194.653,0.9752411427343358,1969-01-01,4920.605,0.9904272483758587,1973-04-01,5704.098,0.9958341189533446,1979-07-01,6799.2,0.9943780318387585,1981-01-01,6947.042,0.9955442249254278,1991-04-01,9341.642,0.9915170144238244,2000-10-01,13260.506,0.9970317257524519,2007-04-01,15582.085,0.9885875918912912,2019-04-01,19020.599,0.9878798952464789
-1,,,,1937-04-01,1169.7186002016272,0.999465627372488,1944-10-01,2370.592786856333,0.9975661371992894,1948-07-01,2132.598,0.9988838308162928,1953-01-01,2697.855,0.9923294475429332,1957-04-01,2985.663,0.9902962567153546,1959-10-01,3203.759,0.9780209582090491,1969-04-01,4935.564,0.9934382198333228,1973-07-01,5674.1,0.9905970013757079,1979-10-01,6816.203,0.996864708164702,1981-04-01,6895.559,0.988166465681733,1991-07-01,9388.845,0.9965271162487335,2001-01-01,13222.69,0.99418841406125,2007-07-01,15666.738,0.9939583048232494,2019-07-01,19141.744,0.9941718479820176
0,1929-07-01,1109.448,1.0,1937-07-01,1170.344,1.0,1945-01-01,2376.376561369531,1.0,1948-10-01,2134.981,1.0,1953-04-01,2718.709,1.0,1957-07-01,3014.919,1.0,1960-01-01,3275.757,1.0,1969-07-01,4968.164,1.0,1973-10-01,5727.96,1.0,1980-01-01,6837.641,1.0,1981-07-01,6978.135,1.0,1991-10-01,9421.565,1.0,2001-04-01,13299.984,1.0,2007-10-01,15761.967,1.0,2019-10-01,19253.959,1.0
1,1929-10-01,1074.0179231856432,0.9680651307547926,1937-10-01,1160.6232771825833,0.9916941319668262,1945-04-01,2364.035305197963,0.994806691678336,1949-01-01,2105.562,0.9862204862713062,1953-07-01,2703.411,0.994373064568514,1957-10-01,2983.727,0.9896541167440983,1960-04-01,3258.088,0.9946061322619474,1969-10-01,4943.935,0.9951231481086374,1974-01-01,5678.713,0.991402349178416,1980-04-01,6696.753,0.9793952329465674,1981-10-01,6902.105,0.9891045386768813,1992-01-01,9534.346,1.011970516575537,2001-07-01,13244.784,0.9958496190672108,2008-01-01,15671.383,0.9942530015447945,2020-01-01,19010.848,0.9873734539478349
