DATE,VALUE
1951-01-02,1770.691
1951-04-02,1767.976
1951-07-02,1766.523
1951-10-02,1793.310
1952-01-02,1821.809
1952-04-02,1855.345
1952-07-02,1865.320
1952-10-02,1868.184
1953-01-02,1842.240
1953-04-02,1835.512
1953-07-02,1856.103
1953-10-02,1838.679
1954-01-02,1912.998
1954-04-02,1971.217
1954-07-02,2048.351
1954-10-02,2084.390
1955-01-02,2110.731
1955-04-02,2145.746
1955-07-02,2188.503
1955-10-02,2192.210
1956-01-02,2214.268
1956-04-02,2216.709
1956-07-02,2231.561
1956-10-02,2305.276
1957-01-02,2348.408
1957-04-02,2366.180
1957-07-02,2351.793
1957-10-02,2314.567
1958-01-02,2303.523
1958-04-02,2306.413
1958-07-02,2332.418
1958-10-02,2379.125
1959-01-02,2447.657
1959-04-02,2488.149
1959-07-02,2521.394
1959-10-02,2535.472
1960-01-02,2523.902
1960-04-02,2543.752
1960-07-02,2540.555
1960-10-02,2582.070
1961-01-02,2597.939
1961-04-02,2591.671
1961-07-02,2616.638
1961-10-02,2589.110
1962-01-02,2519.019
1962-04-02,2534.480
1962-07-02,2593.867
1962-10-02,2654.348
1963-01-02,2708.036
1963-04-02,2776.430
1963-07-02,2773.119
1963-10-02,2782.827
1964-01-02,2845.268
1964-04-02,2831.971
1964-07-02,2836.599
1964-10-02,2800.224
1965-01-02,2816.858
1965-04-02,2869.554
1965-07-02,2915.929
1965-10-02,2975.288
1966-01-02,3028.654
1966-04-02,3062.094
1966-07-02,3090.408
1966-10-02,3097.917
1967-01-02,3138.407
1967-04-02,3177.733
1967-07-02,3237.567
1967-10-02,3262.180
1968-01-02,3335.397
1968-04-02,3373.705
1968-07-02,3419.548
1968-10-02,3429.028
1969-01-02,3513.250
1969-04-02,3560.919
1969-07-02,3633.182
1969-10-02,3720.836
1970-01-02,3812.167
1970-04-02,3824.857
1970-07-02,3850.012
1970-10-02,3881.205
1971-01-02,3915.396
1971-04-02,3916.211
1971-07-02,3947.455
1971-10-02,3977.573
1972-01-02,4059.545
1972-04-02,4128.472
1972-07-02,4156.717
1972-10-02,4174.727
1973-01-02,4240.478
1973-04-02,4252.828
1973-07-02,4279.723
1973-10-02,4259.622
1974-01-02,4252.940
1974-04-02,4260.650
1974-07-02,4298.588
1974-10-02,4253.004
1975-01-02,4370.283
1975-04-02,4395.075
1975-07-02,4430.159
1975-10-02,4442.470
1976-01-02,4521.907
1976-04-02,4629.147
1976-07-02,4673.511
1976-10-02,4750.488
1977-01-02,4872.005
1977-04-02,4928.362
1977-07-02,4902.065
1977-10-02,4948.823
1978-01-02,4905.427
1978-04-02,4917.987
1978-07-02,4869.361
1978-10-02,4850.197
1979-01-02,4791.203
1979-04-02,4827.818
1979-07-02,4909.135
1979-10-02,4973.263
1980-01-02,5086.318
1980-04-02,5124.570
1980-07-02,5149.673
1980-10-02,5187.069
1981-01-02,5247.280
1981-04-02,5351.560
1981-07-02,5447.268
1981-10-02,5446.141
1982-01-02,5464.738
1982-04-02,5679.718
1982-07-02,5735.401
1982-10-02,5811.259
1983-01-02,5820.977
1983-04-02,5826.441
1983-07-02,5868.323
1983-10-02,5884.469
1984-01-02,5903.424
1984-04-02,5782.434
1984-07-02,5771.687
1984-10-02,5878.439
1985-01-02,6000.591
1985-04-02,5952.711
1985-07-02,6025.037
1985-10-02,5949.980
1986-01-02,5852.334
1986-04-02,5884.048
1986-07-02,5861.363
1986-10-02,5865.990
1987-01-02,5938.947
1987-04-02,6072.433
1987-07-02,6192.178
1987-10-02,6320.176
1988-01-02,6442.760
1988-04-02,6553.996
1988-07-02,6617.690
1988-10-02,6671.565
1989-01-02,6734.522
