DATE,VALUE
1947-01-01,1932.600
1947-04-01,1930.412
1947-07-01,1928.448
1947-10-01,1958.807
1948-01-01,1987.606
1948-04-01,2019.889
1948-07-01,2031.179
1948-10-01,2033.347
1949-01-01,2005.563
1949-04-01,1998.835
1949-07-01,2020.825
1949-10-01,2002.702
1950-01-01,2082.538
1950-04-01,2145.515
1950-07-01,2228.210
1950-10-01,2271.243
1951-01-01,2302.318
1951-04-01,2342.254
1951-07-01,2390.499
1951-10-01,2395.791
1952-01-01,2421.120
1952-04-01,2426.174
1952-07-01,2443.725
1952-10-01,2523.927
1953-01-01,2570.898
1953-04-01,2590.964
1953-07-01,2576.444
1953-10-01,2537.344
1954-01-01,2525.611
1954-04-01,2528.252
1954-07-01,2556.931
1954-10-01,2606.758
1955-01-01,2681.180
1955-04-01,2724.825
1955-07-01,2761.467
1955-10-01,2778.087
1956-01-01,2767.370
1956-04-01,2790.190
1956-07-01,2787.910
1956-10-01,2833.517
1957-01-01,2851.778
1957-04-01,2845.453
1957-07-01,2873.169
1957-10-01,2843.718
1958-01-01,2770.000
1958-04-01,2788.278
1958-07-01,2852.741
1958-10-01,2919.470
1959-01-01,2973.782
1959-04-01,3046.096
1959-07-01,3040.235
1959-10-01,3052.194
1960-01-01,3120.195
1960-04-01,3108.361
1960-07-01,3116.104
1960-10-01,3078.384
1961-01-01,3099.314
1961-04-01,3156.922
1961-07-01,3209.561
1961-10-01,3274.610
1962-01-01,3333.591
1962-04-01,3369.510
1962-07-01,3401.609
1962-10-01,3414.802
1963-01-01,3452.806
1963-04-01,3497.818
1963-07-01,3566.096
1963-10-01,3591.546
1964-01-01,3669.226
1964-04-01,3712.856
1964-07-01,3763.277
1964-10-01,3776.627
1965-01-01,3869.782
1965-04-01,3922.689
1965-07-01,4002.358
1965-10-01,4096.741
1966-01-01,4197.921
1966-04-01,4215.116
1966-07-01,4245.170
1966-10-01,4281.583
1967-01-01,4320.947
1967-04-01,4324.696
1967-07-01,4362.001
1967-10-01,4397.108
1968-01-01,4486.382
1968-04-01,4562.157
1968-07-01,4594.968
1968-10-01,4615.388
1969-01-01,4687.098
1969-04-01,4702.124
1969-07-01,4731.549
1969-10-01,4710.954
1970-01-01,4702.809
1970-04-01,4711.143
1970-07-01,4752.805
1970-10-01,4703.912
1971-01-01,4829.880
1971-04-01,4857.374
1971-07-01,4895.258
1971-10-01,4909.529
1972-01-01,4997.015
1972-04-01,5112.722
1972-07-01,5159.837
1972-10-01,5245.523
1973-01-01,5374.665
1973-04-01,5435.604
1973-07-01,5406.065
1973-10-01,5456.489
1974-01-01,5411.162
1974-04-01,5425.382
1974-07-01,5372.849
1974-10-01,5351.356
1975-01-01,5286.705
1975-04-01,5327.437
1975-07-01,5415.478
1975-10-01,5488.489
1976-01-01,5612.427
1976-04-01,5654.837
1976-07-01,5683.589
1976-10-01,5726.249
1977-01-01,5792.875
1977-04-01,5906.568
1977-07-01,6011.064
1977-10-01,6011.695
1978-01-01,6032.613
1978-04-01,6267.163
1978-07-01,6328.452
1978-10-01,6413.330
1979-01-01,6426.077
1979-04-01,6433.860
1979-07-01,6480.063
1979-10-01,6496.843
1980-01-01,6517.864
1980-04-01,6385.668
1980-07-01,6375.988
1980-10-01,6494.126
1981-01-01,6628.634
1981-04-01,6580.199
1981-07-01,6655.692
1981-10-01,6578.035
1982-01-01,6468.003
1982-04-01,6503.252
1982-07-01,6479.838
1982-10-01,6486.159
1983-01-01,6571.112
1983-04-01,6721.061
1983-07-01,6852.660
1983-10-01,6993.986
1984-01-01,7132.946
1984-04-01,7258.230
1984-07-01,7329.642
1984-10-01,7388.101
1985-01-01,7461.538
1985-04-01,7529.860
1985-07-01,7647.016
1985-10-01,7704.382
1986-01-01,7775.761
1986-04-01,7811.462
1986-07-01,7890.093
1986-10-01,7930.970
1987-01-01,7986.448
1987-04-01,8076.102
1987-07-01,8149.352
1987-10-01,8283.848
1988-01-01,8330.445
1988-04-01,8440.506
1988-07-01,8489.204
1988-10-01,8601.634
1989-01-01,8688.396
1989-04-01,8756.711
1989-07-01,8822.076
1989-10-01,8840.727
1990-01-01,8937.520
1990-04-01,8972.072
1990-07-01,8974.327
1990-10-01,8897.835
1991-01-01,8856.143
1991-04-01,8924.858
1991-07-01,8967.695
1991-10-01,9006.835
1992-01-01,9113.230
1992-04-01,9213.695
1992-07-01,9303.254
1992-10-01,9396.464
1993-01-01,9413.955
1993-04-01,9469.926
1993-07-01,9516.093
1993-10-01,9643.120
1994-01-01,9737.638
1994-04-01,9870.711
1994-07-01,9928.868
1994-10-01,10041.591
1995-01-01,10075.907
1995-04-01,10111.126
1995-07-01,10197.669
1995-10-01,10270.057
1996-01-01,10337.435
1996-04-01,10517.932
1996-07-01,10615.223
1996-10-01,10727.360
1997-01-01,10809.133
1997-04-01,10972.224
1997-07-01,11111.951
1997-10-01,11198.207
1998-01-01,11308.995
1998-04-01,11418.673
1998-07-01,11568.054
1998-10-01,11757.945
1999-01-01,11867.763
1999-04-01,11967.734
1999-07-01,12120.094
1999-10-01,12329.827
2000-01-01,12365.164
2000-04-01,12598.723
2000-07-01,12614.806
2000-10-01,12681.965
2001-01-01,12645.650
2001-04-01,12712.787
2001-07-01,12674.114
2001-10-01,12705.159
2002-01-01,12824.603
2002-04-01,12894.676
2002-07-01,12956.671
2002-10-01,12962.920
2003-01-01,13028.597
2003-04-01,13151.812
2003-07-01,13374.049
2003-10-01,13525.715
2004-01-01,13606.565
2004-04-01,13710.681
2004-07-01,13831.044
2004-10-01,13947.662
2005-01-01,14100.244
2005-04-01,14177.163
2005-07-01,14292.871
2005-10-01,14371.950
2006-01-01,14546.356
2006-04-01,14591.608
2006-07-01,14604.376
2006-10-01,14718.445
2007-01-01,14728.052
2007-04-01,14841.529
2007-07-01,14941.511
2007-10-01,14996.054
2008-01-01,14895.353
2008-04-01,14969.174
2008-07-01,14895.057
2008-10-01,14574.644
2009-01-01,14372.080
2009-04-01,14356.903
2009-07-01,14402.546
2009-10-01,14540.242
2010-01-01,14597.663
2010-04-01,14738.019
2010-07-01,14839.320
2010-10-01,14942.400
2011-01-01,14893.954
2011-04-01,15011.251
2011-07-01,15062.144
2011-10-01,15242.142
2012-01-01,15381.564
2012-04-01,15427.670
2012-07-01,15533.985
2012-10-01,15539.628
2013-01-01,15583.948
2013-04-01,15680.995
