DATE,VALUE
1929-01-01,865.2
1930-01-01,790.7
1931-01-01,739.9
1932-01-01,643.7
1933-01-01,635.5
1934-01-01,704.2
1935-01-01,766.9
1936-01-01,866.6
1937-01-01,911.1
1938-01-01,879.7
1939-01-01,950.7
1940-01-01,1034.1
1941-01-01,1211.1
1942-01-01,1435.4
1943-01-01,1670.9
1944-01-01,1806.5
1945-01-01,1786.3
1946-01-01,1589.4
1947-01-01,1574.5
1948-01-01,1643.2
1949-01-01,1634.6
1950-01-01,1777.3
1951-01-01,1915.0
1952-01-01,1988.3
1953-01-01,2079.5
1954-01-01,2065.4
1955-01-01,2212.8
1956-01-01,2255.8
1957-01-01,2301.1
1958-01-01,2279.2
1959-01-01,2441.3
1960-01-01,2501.8
1961-01-01,2560.0
1962-01-01,2715.2
1963-01-01,2834.0
1964-01-01,2998.6
1965-01-01,3191.1
1966-01-01,3399.1
1967-01-01,3484.6
1968-01-01,3652.7
1969-01-01,3765.4
1970-01-01,3771.9
1971-01-01,3898.6
1972-01-01,4105.0
1973-01-01,4341.5
1974-01-01,4319.6
1975-01-01,4311.2
1976-01-01,4540.9
1977-01-01,4750.5
1978-01-01,5015.0
1979-01-01,5173.4
1980-01-01,5161.7
1981-01-01,5291.7
1982-01-01,5189.3
1983-01-01,5423.8
1984-01-01,5813.6
1985-01-01,6053.7
1986-01-01,6263.6
1987-01-01,6475.1
1988-01-01,6742.7
1989-01-01,6981.4
1990-01-01,7112.5
1991-01-01,7100.5
1992-01-01,7336.6
1993-01-01,7532.7
1994-01-01,7835.5
1995-01-01,8031.7
1996-01-01,8328.9
1997-01-01,8703.5
1998-01-01,9066.9
1999-01-01,9470.3
2000-01-01,9817.0
2001-01-01,9890.7
2002-01-01,10048.8
2003-01-01,10301.0
2004-01-01,10675.8
2005-01-01,10989.5
2006-01-01,11294.8
2007-01-01,11523.9
2008-01-01,11652.7
