qtrs_frm_peak,Date0,GDPC10,usgdp_dv_pk0,Date1,GDPC11,usgdp_dv_pk1,Date2,GDPC12,usgdp_dv_pk2,Date3,GDPC13,usgdp_dv_pk3,Date4,GDPC14,usgdp_dv_pk4,Date5,GDPC15,usgdp_dv_pk5,Date6,GDPC16,usgdp_dv_pk6,Date7,GDPC17,usgdp_dv_pk7,Date8,GDPC18,usgdp_dv_pk8,Date9,GDPC19,usgdp_dv_pk9,Date10,GDPC110,usgdp_dv_pk10,Date11,GDPC111,usgdp_dv_pk11,Date12,GDPC112,usgdp_dv_pk12,Date13,GDPC113,usgdp_dv_pk13,Date14,GDPC114,usgdp_dv_pk14
-12,,,,1934-07-01,905.594,0.7737844599536546,1942-01-01,1707.651522236601,0.7185772561099747,1945-10-01,2268.2304764186974,1.061686954194219,1950-04-01,2253.045,0.8281530387426734,1954-07-01,2684.434,0.8897755005918173,1957-01-01,2994.259,0.9134834542307801,1966-07-01,4462.053,0.8975537625702802,1970-10-01,4938.857,0.861684246301926,1977-01-01,6083.391,0.8891215523359753,1978-07-01,6644.754,0.9516147904028422,1988-10-01,9015.661,0.9563069253926325,1998-04-01,11949.492,0.8983638857701681,2004-10-01,14605.595,0.9263309288821198,2016-10-01,17812.56,0.926979935303914
-11,,,,1934-10-01,925.3081478836247,0.7906292063561009,1942-04-01,1782.6124617508804,0.7501207095196296,1946-01-01,2193.7321748466106,1.026816655205206,1950-07-01,2340.112,0.8601563057099149,1954-10-01,2736.96,0.9071856317196773,1957-04-01,2987.699,0.9114821405636078,1966-10-01,4498.66,0.9049173574416118,1971-01-01,5072.996,0.8850875282990953,1977-04-01,6201.659,0.9064070807117893,1978-10-01,6734.069,0.9644058546024845,1989-01-01,9107.314,0.9660287193501705,1998-07-01,12099.191,0.9096182700850753,2005-01-01,14767.846,0.936621377134454,2017-01-01,17889.094,0.9309628261611826
-10,,,,1935-01-01,943.473128077422,0.8061502669962182,1942-07-01,1861.5,0.7833164699181432,1946-04-01,2119.1180358512192,0.9918921363816532,1950-10-01,2384.92,0.8766264078871824,1955-01-01,2815.134,0.9330969821135646,1957-07-01,3016.979,0.920414833273182,1967-01-01,4538.498,0.9129308765085693,1971-04-01,5100.447,0.8898769146379252,1977-07-01,6313.559,0.9227618903412207,1979-01-01,6746.176,0.9661397337298995,1989-04-01,9176.827,0.9734020847977863,1998-10-01,12294.737,0.9243194359929492,2005-04-01,14839.707,0.941179018701292,2017-04-01,17979.218,0.9356529515384069
-9,,,,1935-04-01,962.8577942325082,0.822713487856996,1942-10-01,1944.3628821901066,0.8181850492167718,1946-07-01,2058.375,0.9634602422721911,1951-01-01,2417.311,0.8885323862755031,1955-04-01,2860.942,0.9482803824620589,1957-10-01,2985.775,0.9108951699087846,1967-04-01,4541.28,0.9134904831666414,1971-07-01,5142.422,0.8972003087427805,1977-10-01,6313.697,0.9227820598115412,1979-04-01,6753.389,0.9671727287035548,1989-07-01,9244.816,0.980613796900817,1999-01-01,12410.778,0.9330434088336906,2005-07-01,14956.291,0.9485731279459199,2017-07-01,18127.994,0.9433953741241988
-8,,,,1935-07-01,986.231,0.8426847149214247,1943-01-01,2027.7133949393638,0.8532588227395306,1946-10-01,2025.4900078604337,0.9480678174254524,1951-04-01,2459.196,0.9039280796716566,1955-07-01,2899.578,0.961086570373874,1958-01-01,2908.281,0.887253431902099,1967-07-01,4584.246,0.9221332077068015,1971-10-01,5154.547,0.8993157620726523,1978-01-01,6333.848,0.925727240945077,1979-07-01,6803.558,0.9743575789507904,1989-10-01,9263.033,0.9825461059417043,1999-04-01,12514.408,0.9408343215756183,2005-10-01,15041.232,0.9539603426010008,2017-10-01,18310.3,0.9528827248523095
-7,,,,1935-10-01,1015.3976100901327,0.8676061141767999,1943-04-01,2107.179710218939,0.8866981316636234,1947-01-01,2034.45,0.9522617063900695,1951-07-01,2509.88,0.9225580265283034,1955-10-01,2916.985,0.9668562492480062,1958-04-01,2927.395,0.8930846985841621,1967-10-01,4618.812,0.9290862500299214,1972-01-01,5249.337,0.9158538091768629,1978-04-01,6578.605,0.9614998427365936,1979-10-01,6820.572,0.9767942040002526,1990-01-01,9364.259,0.9932833247468252,1999-07-01,12679.977,0.9532818139211575,2006-01-01,15244.088,0.9668260825389705,2018-01-01,18437.127,0.9594829038414492
-6,,,,1936-01-01,1048.3065334496212,0.895725131627642,1943-07-01,2178.39,0.916663317166255,1947-04-01,2029.024,0.9497219673849955,1951-10-01,2515.408,0.9245899566487268,1956-01-01,2905.656,0.963101168420463,1958-07-01,2995.112,0.9137436860231731,1968-01-01,4713.013,0.9480350303308015,1972-04-01,5368.485,0.9366416057416108,1978-07-01,6644.754,0.9711678883324583,1980-01-01,6842.024,0.9798664081004679,1990-04-01,9398.243,0.9968880670449822,1999-10-01,12888.281,0.9689421274191262,2006-04-01,15281.525,0.9692004501004811,2018-04-01,18565.697,0.9661737899511395
-5,,,,1936-04-01,1081.9426900842989,0.9244655332827774,1943-10-01,2237.8848215105513,0.9416986508025995,1947-07-01,2024.834,0.947760760891951,1952-01-01,2542.286,0.9344695184751998,1956-04-01,2929.666,0.9710594604735401,1958-10-01,3065.141,0.9351080144985412,1968-04-01,4791.758,0.9638747953523279,1972-07-01,5419.184,0.9454870794217075,1978-10-01,6734.069,0.9842217741416868,1980-04-01,6701.046,0.9596765335134761,1990-07-01,9404.494,0.9975511215443283,2000-01-01,12935.252,0.9724734114334181,2006-07-01,15304.517,0.9706586721528423,2018-07-01,18699.748,0.9731499117049708
-4,,,,1936-07-01,1113.291,0.9512510851510324,1944-01-01,2285.8542730059435,0.9618841256397095,1947-10-01,2056.508,0.9625863586152664,1952-04-01,2547.762,0.9364823349258943,1956-07-01,2927.034,0.9701870646099957,1959-01-01,3123.978,0.9530579066075994,1968-07-01,4828.892,0.9713443976675143,1972-10-01,5509.926,0.9613188704369019,1979-01-01,6746.176,0.9859912797733537,1980-07-01,6693.082,0.9585359856179831,1990-10-01,9318.876,0.9884694705884787,2000-04-01,13170.749,0.9901780971227526,2006-10-01,15433.643,0.9788482329015029,2018-10-01,18733.741,0.9749189347393233
-3,,,,1936-10-01,1139.5682555058438,0.9737036764454244,1944-04-01,2323.4008379983643,0.9776836651226077,1948-01-01,2087.442,0.977065585740765,1952-07-01,2566.153,0.943242325310248,1956-10-01,2975.209,0.9861550246123688,1959-04-01,3194.429,0.9745509781268009,1968-10-01,4847.885,0.9751648898518289,1973-01-01,5646.286,0.9851096511429904,1979-04-01,6753.389,0.9870454999865537,1980-10-01,6817.903,0.9764119686495406,1991-01-01,9275.276,0.983844742357557,2000-07-01,13183.89,0.9911660386873736,2007-01-01,15478.956,0.9817221201604907,2019-01-01,18835.411,0.9802099232340904
